Time;Day_of_week;Sex_of_driver;Educational_level;Vehicle_driver_relation;Driving_experience;Type_of_vehicle;Owner_of_vehicle;Service_year_of_vehicle;Defect_of_vehicle;Area_accident_occured;Lanes_or_Medians;Road_allignment;Types_of_Junction;Road_surface_type;Road_surface_conditions;Light_conditions;Weather_conditions;Type_of_collision;Number_of_vehicles_involved;Number_of_casualties;Vehicle_movement;Age_band_of_casualty;Pedestrian_movement;Cause_of_accident;Accident_severity
08:06:00;Tuesday;Male;Junior high school;Employee;1-2yr;Public (> 45 seats);Governmental;unknown;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with pedestrians;1;1;Moving Backward;na;Not a Pedestrian;No distancing;Slight Injury
08:14:00;Wednesday;Male;High school;Employee;2-5yr;Automobile;Governmental;Unknown;unknown;Residential areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;unknown;18-30;Not a Pedestrian;Changing lane to the left;Serious Injury
08:14:00;Wednesday;Male;High school;Owner;Above 10yr;Automobile;Owner;unknown;unknown;School areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Serious Injury
14:44:00;Friday;Male;Elementary school;Employee;2-5yr;Automobile;Owner;Unknown;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Other;Vehicle with vehicle collision;2;2;Going straight;Under 18;Not a Pedestrian;Driving carelessly;Slight Injury
14:44:00;Friday;Male;Junior high school;Employee;Above 10yr;Public (> 45 seats);Owner;5-10yrs;unknown;Other;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Other;Vehicle with vehicle collision;2;2;unknown;31-50;Not a Pedestrian;No distancing;Slight Injury
14:44:00;Friday;Male;High school;Employee;2-5yr;Lorry (11?40Q);Owner;unknown;unknown;Other;Double carriageway (median);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Other;Collision with roadside objects;2;2;Going straight;na;Not a Pedestrian;Changing lane to the left;Slight Injury
16:20:00;Friday;Male;Junior high school;Other;No Licence;Pick up upto 10Q;Governmental;unknown;No defect;Other;Double carriageway (median);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;31-50;Not a Pedestrian;Moving Backward;Slight Injury
20:30:00;Friday;Male;Junior high school;Employee;1-2yr;Lorry (11?40Q);Owner;5-10yrs;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Unknown;Vehicle with vehicle collision;2;2;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
20:30:00;Friday;Male;Junior high school;Owner;5-10yr;Pick up upto 10Q;Owner;Unknown;No defect;Office areas;Double carriageway (median);Tangent road with mild grade and flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Unknown;Vehicle with vehicle collision;2;2;Going straight;Under 18;Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle;No priority to pedestrian;Slight Injury
20:30:00;Friday;Male;Junior high school;Employee;1-2yr;Special vehicle;Owner;unknown;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Unknown;Vehicle with vehicle collision;2;2;Going straight;Under 18;Not a Pedestrian;Changing lane to the left;Slight Injury
12:15:00;Saturday;Male;Junior high school;Employee;Above 10yr;Lorry (11?40Q);Owner;unknown;unknown;Office areas;unknown;Tangent road with mild grade and flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
12:15:00;Saturday;Female;Junior high school;Employee;1-2yr;unknown;Owner;unknown;unknown;Office areas;unknown;Tangent road with mild grade and flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Under 18;Not a Pedestrian;Driving carelessly;Slight Injury
17:30:00;Sunday;Male;Junior high school;Employee;1-2yr;unknown;Owner;unknown;unknown;Office areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Other;na;Not a Pedestrian;No priority to vehicle;Slight Injury
17:30:00;Sunday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Residential areas;unknown;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;2;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
20:20:00;Monday;Male;High school;Employee;1-2yr;Other;Owner;5-10yrs;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
20:20:00;Monday;Male;Junior high school;Employee;1-2yr;Other;Owner;unknown;No defect;  Recreational areas;other;unknown;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
18:05:00;Monday;Male;Elementary school;Employee;Above 10yr;Automobile;Governmental;unknown;No defect;Office areas;other;Tangent road with mild grade and flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
15:45:00;Monday;Male;Junior high school;Employee;Above 10yr;Other;Owner;5-10yrs;No defect; Industrial areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
08:20:00;Monday;Male;Elementary school;Employee;Above 10yr;Automobile;unknown;unknown;unknown;unknown;unknown;unknown;Crossing;Asphalt roads;Wet or damp;Daylight;Normal;Rollover;2;1;Going straight;na;Not a Pedestrian;Changing lane to the left;Slight Injury
08:20:00;Monday;Male;Junior high school;Employee;Above 10yr;Public (13?45 seats);Owner;unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;2;1;Moving Backward;na;Not a Pedestrian;Driving under the influence of drugs;Slight Injury
11:55:00;Wednesday;Female;Junior high school;Employee;1-2yr;Lorry (41?100Q);Governmental;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
11:55:00;Wednesday;Male;Junior high school;Employee;5-10yr;unknown;Owner;1-2yr;No defect; Industrial areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Slight Injury
12:51:00;Wednesday;Male;High school;Owner;2-5yr;Automobile;Owner;2-5yrs;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
12:51:00;Wednesday;Male;Junior high school;Employee;2-5yr;unknown;Owner;Unknown;No defect;Residential areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
12:51:00;Wednesday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
20:00:00;Friday;Male;Junior high school;Employee;5-10yr;unknown;Owner;2-5yrs;No defect;Office areas;Double carriageway (median);Escarpments;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;1;1;Going straight;18-30;Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle;No distancing;Slight Injury
20:12:00;Friday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Office areas;other;Tangent road with flat terrain;O Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;1;1;Going straight;Over 51;In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing);Driving carelessly;Slight Injury
19:38:00;Wednesday;Male;High school;Employee;Above 10yr;Taxi;Owner;1-2yr;No defect;Office areas;Undivided Two way;Escarpments;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle;No priority to pedestrian;Slight Injury
19:38:00;Wednesday;Male;Elementary school;Employee;5-10yr;Lorry (41?100Q);Owner;unknown;No defect;Office areas;One way;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
08:14:00;Monday;Male;Junior high school;Employee;Above 10yr;Lorry (41?100Q);Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Raining and Windy;Collision with roadside objects;2;1;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
08:14:00;Monday;Male;Writing & reading;Employee;2-5yr;Other;Owner;unknown;No defect;Office areas;other;Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Raining and Windy;Collision with roadside objects;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
13:45:00;Thursday;Male;Junior high school;Employee;2-5yr;Stationwagen;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Serious Injury
13:45:00;Thursday;Male;High school;Employee;2-5yr;Stationwagen;Owner;5-10yrs;No defect;Residential areas;One way;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Other;na;Not a Pedestrian;Driving carelessly;Serious Injury
17:45:00;Tuesday;Female;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;unknown;No defect;Other;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Vehicle with vehicle collision;1;1;Going straight;31-50;Not a Pedestrian;Changing lane to the left;Serious Injury
14:13:00;Wednesday;Male;High school;Employee;5-10yr;Lorry (41?100Q);Owner;5-10yrs;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
14:13:00;Wednesday;Male;Elementary school;Employee;2-5yr;Other;Owner;unknown;No defect;  Recreational areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;No distancing;Slight Injury
17:00:00;Wednesday;Male;Junior high school;Employee;1-2yr;Automobile;Owner;unknown;unknown; Industrial areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Slight Injury
17:00:00;Wednesday;Male;Elementary school;Employee;1-2yr;unknown;unknown;unknown;unknown;Residential areas;other;unknown;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;No priority to vehicle;Slight Injury
17:40:00;Friday;Male;High school;Employee;No Licence;Taxi;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with rolling terrain;Other;Asphalt roads;Wet or damp;Darkness - lights unlit;Raining;Rollover;1;1;Going straight;18-30;Not a Pedestrian;Getting off the vehicle improperly;Slight Injury
23:00:00;Saturday;Male;Junior high school;Owner;5-10yr;Lorry (41?100Q);Owner;2-5yrs;No defect;Office areas;Double carriageway (median);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights unlit;Normal;Vehicle with vehicle collision;2;2;Going straight;na;Not a Pedestrian;No distancing;Serious Injury
23:00:00;Saturday;Male;Junior high school;Employee;1-2yr;Other;Owner;2-5yrs;No defect;  Market areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights unlit;Normal;Vehicle with vehicle collision;2;2;Other;31-50;Not a Pedestrian;No distancing;Serious Injury
19:35:00;Thursday;Male;Junior high school;Employee;2-5yr;Automobile;unknown;unknown;unknown;Unknown;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with pedestrians;2;2;Going straight;31-50;Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle;Changing lane to the left;Slight Injury
19:35:00;Thursday;Male;Junior high school;Employee;5-10yr;Public (> 45 seats);Owner;unknown;No defect; Industrial areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;2;Going straight;18-30;Unknown or other;No priority to vehicle;Slight Injury
19:35:00;Thursday;Male;unknown;unknown;unknown;Stationwagen;Owner;unknown;No defect;Residential areas;Two-way (divided with solid lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;2;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
19:57:00;Tuesday;Male;unknown;unknown;unknown;Automobile;Governmental;Below 1yr;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Serious Injury
12:37:00;Tuesday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;5-10yrs;No defect;Other;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
12:37:00;Tuesday;Male;Junior high school;Employee;Above 10yr;Other;Governmental;unknown;No defect;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;2;Going straight;Over 51;Not a Pedestrian;Changing lane to the right;Slight Injury
08:30:00;Tuesday;Male;Junior high school;Owner;Above 10yr;Public (13?45 seats);Owner;1-2yr;No defect;Rural village areas;Undivided Two way;Gentle horizontal curve;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
08:30:00;Tuesday;Male;unknown;unknown;unknown;Other;Owner;2-5yrs;No defect;Rural village areas;Undivided Two way;Gentle horizontal curve;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Driving under the influence of drugs;Slight Injury
10:45:00;Friday;Male;Elementary school;Owner;Above 10yr;Other;Owner;unknown;No defect;Office areas;Double carriageway (median);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
10:45:00;Friday;Male;unknown;unknown;unknown;Ridden horse;Owner;2-5yrs;No defect;Residential areas;Undivided Two way;Gentle horizontal curve;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Moving Backward;na;Not a Pedestrian;Getting off the vehicle improperly;Slight Injury
21:00:00;Monday;Male;Junior high school;Owner;5-10yr;Lorry (41?100Q);Owner;unknown;unknown;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Collision with roadside objects;1;1;Going straight;18-30;Not a Pedestrian;Overloading;Slight Injury
00:35:00;Friday;Male;Junior high school;Owner;Above 10yr;Lorry (41?100Q);Owner;unknown;7; Outside rural areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
09:09:00;Wednesday;Male;High school;Owner;Above 10yr;Pick up upto 10Q;Owner;Above 10yr;unknown;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;4;2;Going straight;Over 51;Not a Pedestrian;Overtaking;Slight Injury
09:09:00;Wednesday;Male;unknown;unknown;unknown;Lorry (11?40Q);Owner;5-10yrs;5; Church areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;4;2;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
09:09:00;Wednesday;Male;Elementary school;Employee;5-10yr;Automobile;Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Rollover;4;2;Moving Backward;31-50;Not a Pedestrian;Overturning;Slight Injury
09:09:00;Wednesday;Male;Elementary school;Owner;Above 10yr;Automobile;Owner;Unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with mountainous terrain and;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;4;2;Going straight;18-30;Not a Pedestrian;Driving carelessly;Slight Injury
08:24:00;Wednesday;Male;Junior high school;Owner;Below 1yr;Pick up upto 10Q;Governmental;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Escarpments;No junction;Asphalt roads;Wet or damp;Daylight;Other;Vehicle with vehicle collision;2;2;Other;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
08:24:00;Wednesday;Male;Junior high school;Owner;2-5yr;Automobile;Owner;2-5yrs;unknown;Other;Undivided Two way;Tangent road with mountainous terrain and;No junction;Asphalt roads;Wet or damp;Daylight;Other;Vehicle with vehicle collision;2;2;Other;Under 18;Not a Pedestrian;No distancing;Slight Injury
12:07:00;Wednesday;Male;Junior high school;Owner;2-5yr;Other;Owner;2-5yrs;unknown;Other;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
12:07:00;Wednesday;Male;High school;Owner;5-10yr;Lorry (41?100Q);Owner;Unknown;No defect;Residential areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;Under 18;Not a Pedestrian;Getting off the vehicle improperly;Slight Injury
00:54:00;Friday;Male;Junior high school;Owner;unknown;Public (13?45 seats);Owner;unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;unknown;Wet or damp;Darkness - lights lit;Raining;Collision with pedestrians;2;1;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
00:54:00;Friday;Male;unknown;Owner;Below 1yr;Pick up upto 10Q;Owner;Below 1yr;unknown;Other;Undivided Two way;Tangent road with mild grade and flat terrain;Crossing;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Rollover;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
08:24:00;Saturday;Male;Elementary school;Owner;Above 10yr;Stationwagen;Owner;5-10yrs;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Other;na;Not a Pedestrian;Moving Backward;Slight Injury
08:24:00;Saturday;Male;Elementary school;Owner;Below 1yr;Other;Governmental;5-10yrs;No defect;Other;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
16:54:00;Monday;Female;Junior high school;Owner;5-10yr;Pick up upto 10Q;Owner;2-5yrs;No defect;Other;Double carriageway (median);Tangent road with mild grade and flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Getting off;Over 51;Not a Pedestrian;No distancing;Slight Injury
16:54:00;Monday;Male;Junior high school;Owner;5-10yr;Public (13?45 seats);Owner;unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;Driving carelessly;Slight Injury
14:45:00;Sunday;Male;unknown;Owner;unknown;Public (12 seats);Owner;2-5yrs;unknown; Church areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Under 18;Not a Pedestrian;Driving under the influence of drugs;Slight Injury
14:45:00;Sunday;Male;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;5-10yrs;unknown;Other;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Normal;Fall from vehicles;2;1;Going straight;31-50;Not a Pedestrian;Driving carelessly;Slight Injury
15:38:00;Wednesday;Male;High school;Owner;5-10yr;Pick up upto 10Q;Organization;2-5yrs;unknown; Industrial areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;Driving carelessly;Serious Injury
15:38:00;Wednesday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Owner;unknown;No defect;Residential areas;Double carriageway (median);Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Normal;Collision with roadside objects;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Serious Injury
08:00:00;Wednesday;Male;Junior high school;Employee;5-10yr;Pick up upto 10Q;Governmental;Above 10yr;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Snow;Daylight;Snow;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
08:00:00;Wednesday;Male;Junior high school;Employee;5-10yr;Long lorry;Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Snow;Daylight;Snow;Vehicle with vehicle collision;2;1;Moving Backward;31-50;Not a Pedestrian;Driving carelessly;Slight Injury
11:31:00;Monday;Male;Junior high school;Employee;Above 10yr;unknown;Owner;unknown;No defect; Industrial areas;Unknown;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
11:31:00;Monday;Male;Junior high school;Employee;5-10yr;Other;Owner;1-2yr;No defect; Industrial areas;Double carriageway (median);Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Raining;Collision with pedestrians;2;1;Other;31-50;Not a Pedestrian;No distancing;Slight Injury
09:20:00;Thursday;Male;Junior high school;Employee;No Licence;unknown;Owner;unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
09:20:00;Thursday;Male;Above high school;Employee;Below 1yr;Public (13?45 seats);Organization;Above 10yr;unknown; Hospital areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Other;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
19:09:00;Wednesday;Male;Elementary school;Employee;5-10yr;Special vehicle;Owner;Unknown;unknown;Office areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Cloudy;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
18:45:00;Saturday;Male;Elementary school;Employee;5-10yr;Lorry (41?100Q);Owner;2-5yrs;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Rollover;2;3;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
18:45:00;Saturday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Organization;5-10yrs;No defect; Hospital areas;Undivided Two way;Tangent road with mountainous terrain and;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;2;3;unknown;na;Not a Pedestrian;Moving Backward;Slight Injury
18:45:00;Saturday;Male;High school;Employee;5-10yr;Public (> 45 seats);Owner;Above 10yr;No defect;Office areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;3;Moving Backward;na;Not a Pedestrian;Changing lane to the right;Slight Injury
18:45:00;Saturday;Male;Junior high school;Employee;5-10yr;Automobile;Owner;2-5yrs;No defect;Other;Two-way (divided with broken lines road marking);Escarpments;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;3;unknown;31-50;Not a Pedestrian;Moving Backward;Slight Injury
13:40:00;Saturday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;1-2yr;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
13:40:00;Saturday;Male;Writing & reading;Employee;5-10yr;Automobile;Owner;2-5yrs;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with mountainous terrain and;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;Driving carelessly;Slight Injury
19:42:00;Monday;Male;Junior high school;Employee;Above 10yr;Public (> 45 seats);Owner;unknown;No defect;Other;Double carriageway (median);Steep grade downward with mountainous terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;unknown;31-50;Crossing from driver's nearside;Changing lane to the right;Serious Injury
18:14:00;Saturday;Male;Junior high school;Employee;1-2yr;Lorry (11?40Q);Owner;1-2yr;No defect;Office areas;Undivided Two way;Tangent road with mild grade and flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;No distancing;Serious Injury
19:49:00;Wednesday;Male;Writing & reading;Employee;Below 1yr;Pick up upto 10Q;Owner;unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Rollover;3;1;Going straight;31-50;Not a Pedestrian;Moving Backward;Serious Injury
19:49:00;Wednesday;Male;Elementary school;Employee;1-2yr;Lorry (11?40Q);Owner;Unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Rollover;3;1;Going straight;na;Not a Pedestrian;Driving carelessly;Serious Injury
